Run,Algorithm,Heuristic,Execution Time (ms),Memory Used (Bytes)
98,A*,Misplaced Tiles,11,1608
99,A*,Misplaced Tiles,11,43024
0,A*,Linear Conflict and Manhattan Distance,12,57528
1,A*,Linear Conflict and Manhattan Distance,11,15256
2,A*,Linear Conflict and Manhattan Distance,13,10392
3,A*,Linear Conflict and Manhattan Distance,11,9480
4,A*,Linear Conflict and Manhattan Distance,12,10248
5,A*,Linear Conflict and Manhattan Distance,13,10120
6,A*,Linear Conflict and Manhattan Distance,14,10584
7,A*,Linear Conflict and Manhattan Distance,11,11040
8,A*,Linear Conflict and Manhattan Distance,12,49624
9,A*,Linear Conflict and Manhattan Distance,12,31464
10,A*,Linear Conflict and Manhattan Distance,11,50704
11,A*,Linear Conflict and Manhattan Distance,11,49952
12,A*,Linear Conflict and Manhattan Distance,11,49232
13,A*,Linear Conflict and Manhattan Distance,10,34576
14,A*,Linear Conflict and Manhattan Distance,11,34768
15,A*,Linear Conflict and Manhattan Distance,12,49128
16,A*,Linear Conflict and Manhattan Distance,9,7336
17,A*,Linear Conflict and Manhattan Distance,14,34936
18,A*,Linear Conflict and Manhattan Distance,14,9312
19,A*,Linear Conflict and Manhattan Distance,15,10576
20,A*,Linear Conflict and Manhattan Distance,18,10192
21,A*,Linear Conflict and Manhattan Distance,18,10624
22,A*,Linear Conflict and Manhattan Distance,14,9376
23,A*,Linear Conflict and Manhattan Distance,15,10232
24,A*,Linear Conflict and Manhattan Distance,13,52392
25,A*,Linear Conflict and Manhattan Distance,13,11440
26,A*,Linear Conflict and Manhattan Distance,11,29512
27,A*,Linear Conflict and Manhattan Distance,11,9896
28,A*,Linear Conflict and Manhattan Distance,11,31528
29,A*,Linear Conflict and Manhattan Distance,12,10928
30,A*,Linear Conflict and Manhattan Distance,11,29296
31,A*,Linear Conflict and Manhattan Distance,12,7352
32,A*,Linear Conflict and Manhattan Distance,11,34848
33,A*,Linear Conflict and Manhattan Distance,16,7176
34,A*,Linear Conflict and Manhattan Distance,14,34784
35,A*,Linear Conflict and Manhattan Distance,14,34752
36,A*,Linear Conflict and Manhattan Distance,11,7592
37,A*,Linear Conflict and Manhattan Distance,12,7240
38,A*,Linear Conflict and Manhattan Distance,15,7512
39,A*,Linear Conflict and Manhattan Distance,12,7312
40,A*,Linear Conflict and Manhattan Distance,13,7584
41,A*,Linear Conflict and Manhattan Distance,18,33016
42,A*,Linear Conflict and Manhattan Distance,24,50152
43,A*,Linear Conflict and Manhattan Distance,18,50304
44,A*,Linear Conflict and Manhattan Distance,11,32976
45,A*,Linear Conflict and Manhattan Distance,13,6688
46,A*,Linear Conflict and Manhattan Distance,12,7320
47,A*,Linear Conflict and Manhattan Distance,12,49376
48,A*,Linear Conflict and Manhattan Distance,12,42424
49,A*,Linear Conflict and Manhattan Distance,13,7232
50,A*,Linear Conflict and Manhattan Distance,13,7416
51,A*,Linear Conflict and Manhattan Distance,13,35344
52,A*,Linear Conflict and Manhattan Distance,11,7232
53,A*,Linear Conflict and Manhattan Distance,11,15072
54,A*,Linear Conflict and Manhattan Distance,11,9520
55,A*,Linear Conflict and Manhattan Distance,11,32600
56,A*,Linear Conflict and Manhattan Distance,10,66528
57,A*,Linear Conflict and Manhattan Distance,10,8688
58,A*,Linear Conflict and Manhattan Distance,10,34680
59,A*,Linear Conflict and Manhattan Distance,12,7176
60,A*,Linear Conflict and Manhattan Distance,13,34744
61,A*,Linear Conflict and Manhattan Distance,12,7176
62,A*,Linear Conflict and Manhattan Distance,12,3272
63,A*,Linear Conflict and Manhattan Distance,12,7296
64,A*,Linear Conflict and Manhattan Distance,11,34792
65,A*,Linear Conflict and Manhattan Distance,11,7272
66,A*,Linear Conflict and Manhattan Distance,11,7440
67,A*,Linear Conflict and Manhattan Distance,11,49104
68,A*,Linear Conflict and Manhattan Distance,11,10200
69,A*,Linear Conflict and Manhattan Distance,10,69424
70,A*,Linear Conflict and Manhattan Distance,10,7176
71,A*,Linear Conflict and Manhattan Distance,11,7176
72,A*,Linear Conflict and Manhattan Distance,11,7176
73,A*,Linear Conflict and Manhattan Distance,12,7176
74,A*,Linear Conflict and Manhattan Distance,11,7176
75,A*,Linear Conflict and Manhattan Distance,11,7176
76,A*,Linear Conflict and Manhattan Distance,12,7176
77,A*,Linear Conflict and Manhattan Distance,12,7176
78,A*,Linear Conflict and Manhattan Distance,12,7176
79,A*,Linear Conflict and Manhattan Distance,13,7176
80,A*,Linear Conflict and Manhattan Distance,14,7176
81,A*,Linear Conflict and Manhattan Distance,13,7176
82,A*,Linear Conflict and Manhattan Distance,13,7176
83,A*,Linear Conflict and Manhattan Distance,14,7176
84,A*,Linear Conflict and Manhattan Distance,15,7176
85,A*,Linear Conflict and Manhattan Distance,15,7176
86,A*,Linear Conflict and Manhattan Distance,14,7176
87,A*,Linear Conflict and Manhattan Distance,15,7176
88,A*,Linear Conflict and Manhattan Distance,13,7176
89,A*,Linear Conflict and Manhattan Distance,13,7176
90,A*,Linear Conflict and Manhattan Distance,13,7176
91,A*,Linear Conflict and Manhattan Distance,15,7176
92,A*,Linear Conflict and Manhattan Distance,14,7176
93,A*,Linear Conflict and Manhattan Distance,13,7176
94,A*,Linear Conflict and Manhattan Distance,14,7176
95,A*,Linear Conflict and Manhattan Distance,14,7176
96,A*,Linear Conflict and Manhattan Distance,15,7176
97,A*,Linear Conflict and Manhattan Distance,16,7176
98,A*,Linear Conflict and Manhattan Distance,15,7176
99,A*,Linear Conflict and Manhattan Distance,14,7176
