Run,Algorithm,Heuristic,Execution Time (ms),Memory Used (Bytes)
12,IDA*,Linear Conflict and Manhattan Distance,18,192
13,IDA*,Linear Conflict and Manhattan Distance,16,192
14,IDA*,Linear Conflict and Manhattan Distance,19,192
15,IDA*,Linear Conflict and Manhattan Distance,20,192
16,IDA*,Linear Conflict and Manhattan Distance,18,192
17,IDA*,Linear Conflict and Manhattan Distance,16,192
18,IDA*,Linear Conflict and Manhattan Distance,12,192
19,IDA*,Linear Conflict and Manhattan Distance,12,192
20,IDA*,Linear Conflict and Manhattan Distance,12,192
21,IDA*,Linear Conflict and Manhattan Distance,12,192
22,IDA*,Linear Conflict and Manhattan Distance,12,192
23,IDA*,Linear Conflict and Manhattan Distance,12,192
24,IDA*,Linear Conflict and Manhattan Distance,12,192
25,IDA*,Linear Conflict and Manhattan Distance,12,192
26,IDA*,Linear Conflict and Manhattan Distance,11,192
27,IDA*,Linear Conflict and Manhattan Distance,12,192
28,IDA*,Linear Conflict and Manhattan Distance,12,192
29,IDA*,Linear Conflict and Manhattan Distance,11,192
30,IDA*,Linear Conflict and Manhattan Distance,12,192
31,IDA*,Linear Conflict and Manhattan Distance,11,192
32,IDA*,Linear Conflict and Manhattan Distance,12,192
33,IDA*,Linear Conflict and Manhattan Distance,11,192
34,IDA*,Linear Conflict and Manhattan Distance,11,192
35,IDA*,Linear Conflict and Manhattan Distance,11,192
36,IDA*,Linear Conflict and Manhattan Distance,11,192
37,IDA*,Linear Conflict and Manhattan Distance,11,192
38,IDA*,Linear Conflict and Manhattan Distance,11,192
39,IDA*,Linear Conflict and Manhattan Distance,11,192
40,IDA*,Linear Conflict and Manhattan Distance,11,192
41,IDA*,Linear Conflict and Manhattan Distance,11,192
42,IDA*,Linear Conflict and Manhattan Distance,11,192
43,IDA*,Linear Conflict and Manhattan Distance,11,192
44,IDA*,Linear Conflict and Manhattan Distance,10,192
45,IDA*,Linear Conflict and Manhattan Distance,11,192
46,IDA*,Linear Conflict and Manhattan Distance,11,192
47,IDA*,Linear Conflict and Manhattan Distance,11,192
48,IDA*,Linear Conflict and Manhattan Distance,10,192
49,IDA*,Linear Conflict and Manhattan Distance,10,192
50,IDA*,Linear Conflict and Manhattan Distance,10,192
51,IDA*,Linear Conflict and Manhattan Distance,10,192
52,IDA*,Linear Conflict and Manhattan Distance,10,192
53,IDA*,Linear Conflict and Manhattan Distance,11,192
54,IDA*,Linear Conflict and Manhattan Distance,10,192
55,IDA*,Linear Conflict and Manhattan Distance,10,192
56,IDA*,Linear Conflict and Manhattan Distance,11,192
57,IDA*,Linear Conflict and Manhattan Distance,10,192
58,IDA*,Linear Conflict and Manhattan Distance,10,192
59,IDA*,Linear Conflict and Manhattan Distance,10,192
60,IDA*,Linear Conflict and Manhattan Distance,10,192
61,IDA*,Linear Conflict and Manhattan Distance,10,192
62,IDA*,Linear Conflict and Manhattan Distance,10,192
63,IDA*,Linear Conflict and Manhattan Distance,10,192
64,IDA*,Linear Conflict and Manhattan Distance,10,192
65,IDA*,Linear Conflict and Manhattan Distance,10,192
66,IDA*,Linear Conflict and Manhattan Distance,10,192
67,IDA*,Linear Conflict and Manhattan Distance,10,192
68,IDA*,Linear Conflict and Manhattan Distance,9,192
69,IDA*,Linear Conflict and Manhattan Distance,9,192
70,IDA*,Linear Conflict and Manhattan Distance,9,192
71,IDA*,Linear Conflict and Manhattan Distance,10,192
72,IDA*,Linear Conflict and Manhattan Distance,10,192
73,IDA*,Linear Conflict and Manhattan Distance,10,192
74,IDA*,Linear Conflict and Manhattan Distance,10,192
75,IDA*,Linear Conflict and Manhattan Distance,10,192
76,IDA*,Linear Conflict and Manhattan Distance,10,192
77,IDA*,Linear Conflict and Manhattan Distance,10,192
78,IDA*,Linear Conflict and Manhattan Distance,10,192
79,IDA*,Linear Conflict and Manhattan Distance,10,192
80,IDA*,Linear Conflict and Manhattan Distance,10,192
81,IDA*,Linear Conflict and Manhattan Distance,11,192
82,IDA*,Linear Conflict and Manhattan Distance,10,192
83,IDA*,Linear Conflict and Manhattan Distance,10,192
84,IDA*,Linear Conflict and Manhattan Distance,9,192
85,IDA*,Linear Conflict and Manhattan Distance,10,192
86,IDA*,Linear Conflict and Manhattan Distance,10,192
87,IDA*,Linear Conflict and Manhattan Distance,9,192
88,IDA*,Linear Conflict and Manhattan Distance,10,192
89,IDA*,Linear Conflict and Manhattan Distance,10,192
90,IDA*,Linear Conflict and Manhattan Distance,10,192
91,IDA*,Linear Conflict and Manhattan Distance,10,192
92,IDA*,Linear Conflict and Manhattan Distance,10,192
93,IDA*,Linear Conflict and Manhattan Distance,10,192
94,IDA*,Linear Conflict and Manhattan Distance,10,192
95,IDA*,Linear Conflict and Manhattan Distance,10,192
96,IDA*,Linear Conflict and Manhattan Distance,10,192
97,IDA*,Linear Conflict and Manhattan Distance,10,192
98,IDA*,Linear Conflict and Manhattan Distance,10,192
99,IDA*,Linear Conflict and Manhattan Distance,10,192
0,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
1,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
